# Frequency, Real(S11), Imag(S11), Amp(S11), Phase(S11), Real(E0), Imag(E0), Amp(E0), Phase(E0), Real(E1), Imag(E1), Amp(E1), Phase(E1), Real(E2), Imag(E2), Amp(E2), Phase(E2), Real(I0), Imag(I0), Amp(I0), Phase(I0), Real(I1), Imag(I1), Amp(I1), Phase(I1), Real(I2), Imag(I2), Amp(I2), Phase(I2), Real(S21), Imag(S21), Amp(S21), Phase(S21), Real(ZL1), Imag(ZL1), Amp(ZL1), Phase(ZL1), Real(ZL2), Imag(ZL2), Amp(ZL2), Phase(ZL2), Real(J4avg), Imag(J4avg), Amp(J4avg), Phase(J4avg), Real(Icavg), Imag(Icavg), Amp(Icavg), Phase(Icavg), Unwrapped Phase(S21) 
7.000000000000000000e+09,-6.023467199545866624e-01,1.009359612154754962e-02,6.024312838180917451e-01,3.124837102040879611e+00,8.657727746365277699e-02,1.614481145644261417e+01,1.614504359204563144e+01,1.565433833227607652e+00,7.278570443755693065e-01,8.585239638828682018e+00,8.616038273659325952e+00,1.486218528751638956e+00,-8.044608158473772974e+00,3.993997992359849292e+01,4.074208778058426361e+01,1.769554429012951013e+00,2.034973095106301279e-06,-4.298456144853663263e-06,4.755821772000790336e-06,-1.128638300292899466e+00,-2.839686931690786864e-09,-1.399308656974455233e-06,1.399311538330733565e-06,-1.572825673943830438e+00,-2.032133408174611660e-06,5.697764801828114049e-06,6.049304912597043741e-06,1.913387079588342088e+00,-1.017486547553153164e-04,2.149228072426833292e-04,2.377910886000397675e-04,2.012954353296894539e+00,2.481119717448993356e+01,7.862467777232098332e-01,2.482365181086170125e+01,3.167859037108137349e-02,2.481275965355000324e+01,7.861990377219021386e-01,2.482521199409491075e+01,3.167467479908735173e-02,2.918799304318719957e-11,7.362199568222599886e-13,2.919727654617752063e-11,2.521803684505308923e-02,1.000016852602655604e+00,-5.339566244623061191e-04,1.000016995155081467e+00,-5.339475753122993216e-04,2.012954353296894539e+00
7.140845070422535896e+09,-6.023423484933526639e-01,1.029872012551321346e-02,6.024303847123840816e-01,3.124496534130462688e+00,-1.948987771683956982e+00,1.649210754148838021e+01,1.660687100251553971e+01,1.688427744386470364e+00,7.444233553220760413e-01,8.758975079850088719e+00,8.790552347912152342e+00,1.486010300074620316e+00,-4.114381238629228221e+00,4.074421153093554437e+01,4.095142129712234436e+01,1.671435929163255896e+00,-9.596506797717530216e-08,-4.395004898307285806e-06,4.396052473574092678e-06,-1.592627888651044321e+00,6.198183719427839018e-07,-1.424973041743843636e-06,1.553937895764983609e-06,-1.160512667637928708e+00,-5.238533039656088643e-07,5.819977940051123724e-06,5.843506268222650565e-06,1.660563924571949901e+00,4.798253398858730485e-06,2.197502449153638431e-04,2.198026236787042019e-04,1.548964764938749017e+00,2.481129693615771359e+01,8.022291140056012626e-01,2.482426287335733406e+01,3.232195927811404995e-02,2.481293418924732919e+01,8.021783876868631147e-01,2.482589763222250312e+01,3.231778582024233404e-02,2.918859671957312808e-11,7.509174010547198124e-13,2.919825432112478119e-11,2.572072271119203030e-02,1.000017536348046354e+00,-5.447060302276545253e-04,1.000017684697763531e+00,-5.446964243712037633e-04,1.548964764938749017e+00
7.281690140845069885e+09,-6.023405975569678938e-01,1.050393154365783337e-02,6.024321771313008167e-01,3.124155896007079658e+00,1.514078570073552066e-01,1.679816670836844850e+01,1.679884904097008658e+01,1.561783214847543677e+00,8.643368151190207460e-02,8.938764067326351537e+00,8.939181944262262647e+00,1.561127094318727426e+00,3.713080699003502017e-01,4.153494021303433925e+01,4.153659986304982255e+01,1.561856909110910019e+00,5.150968681263833915e-09,-4.489288344319780787e-06,4.489291299406154244e-06,-1.569648936378917670e+00,-1.296730553169664722e-08,-1.450496898309969267e-06,1.450554860396391173e-06,-1.579735994370935703e+00,7.816336850432540338e-09,5.939785242629747725e-06,5.939790385500475802e-06,1.569480398353146233e+00,-2.575484340629360407e-07,2.244644172159889818e-04,2.244645649703076360e-04,1.571943717210874558e+00,2.481095196642911915e+01,8.182146023423659820e-01,2.482443982481657585e+01,3.296601361915316164e-02,2.481313692246938984e+01,8.181630392057076540e-01,2.482662189448931045e+01,3.296103705140737694e-02,2.919259469751576982e-11,7.657499055965966753e-13,2.920263614969283635e-11,2.622495046492594878e-02,1.000018236860243714e+00,-5.555032131057758074e-04,1.000018391149327890e+00,-5.554930255194298876e-04,1.571943717210874558e+00
7.422535211267605782e+09,-6.023361027972894410e-01,1.070915002375979509e-02,6.024312961884186191e-01,3.123815167265295845e+00,1.579358542685374289e-01,1.712476714810201273e+01,1.712549542672496017e+01,1.561573931228288359e+00,9.031152561819551228e-02,9.113137986481513408e+00,9.113585470730596327e+00,1.560886615182523585e+00,3.865890657584331036e-01,4.234089336208806742e+01,4.234265818067493115e+01,1.561666185859060363e+00,5.350374246855382855e-09,-4.576306766649869832e-06,4.576309894335169475e-06,-1.569627180563697211e+00,-1.350044456514209901e-08,-1.478598768049707807e-06,1.478660400119503487e-06,-1.579926639703751912e+00,8.150070318287627710e-09,6.054905534699575733e-06,6.054911019807124663e-06,1.569450299949471272e+00,-2.675187123429146074e-07,2.288153383324932036e-04,2.288154947167581705e-04,1.571965473026096571e+00,2.481104670812861102e+01,8.342046462857362066e-01,2.482506668963497987e+01,3.360964671340315596e-02,2.481331912147416929e+01,8.341499291749615574e-01,2.482733598130210595e+01,3.360436838467313614e-02,2.919392076053191044e-11,7.810233904343843225e-13,2.920436623021670110e-11,2.674656636318257369e-02,1.000018959163025523e+00,-5.662673852454932393e-04,1.000019119489348851e+00,-5.662565889706177268e-04,1.571965473026096571e+00
7.563380281690140724e+09,-6.023315203724123323e-01,1.091441411175953814e-02,6.024303983611257740e-01,3.123474359236084297e+00,1.646224408164324582e-01,1.745148151322576879e+01,1.745225795003274527e+01,1.561363456696510443e+00,9.429113173742581511e-02,9.287612995965442764e+00,9.288091622090648869e+00,1.560644321921224709e+00,4.022099045821123653e-01,4.314704577168678412e+01,4.314892039937242885e+01,1.561474755694129968e+00,5.552274116367116271e-09,-4.663344750066274199e-06,4.663348055390949152e-06,-1.569605706802090328e+00,-1.404515366540688862e-08,-1.506702833473862754e-06,1.506768294974264169e-06,-1.580117837682053494e+00,8.492879549039933650e-09,6.170047583540135683e-06,6.170053428630298873e-06,1.569419858612061791e+00,-2.776137058186155764e-07,2.331672375033135101e-04,2.331674027695472323e-04,1.571986946787703898e+00,2.481114321381275900e+01,8.501984980648450430e-01,2.482570573140748849e+01,3.425339789617150993e-02,2.481350492547776909e+01,8.501404963544118010e-01,2.482806407173646690e+01,3.424780549404853047e-02,2.919451990575727383e-11,7.956042127670238082e-13,2.920535873073690179e-11,2.724509078838284470e-02,1.000019681783226089e+00,-5.770178466801371151e-04,1.000019848254733557e+00,-5.770064261279853534e-04,1.571986946787703898e+00
7.704225352112676620e+09,-6.023268502332651542e-01,1.111972335097009303e-02,6.024294836404742171e-01,3.123133472607333871e+00,1.714685787091365932e-01,1.777827690195191224e+01,1.777910377594892921e+01,1.561151789075181817e+00,9.837281675343544085e-02,9.462106654797873162e+00,9.462618007604778114e+00,1.560400198713797204e+00,4.181722672227962123e-01,4.395336727489483764e+01,4.395535647502896381e+01,1.561282615406735852e+00,5.756535989122220936e-09,-4.750389850958611434e-06,4.750393338850707007e-06,-1.569584524531929981e+00,-1.460147656876523580e-08,-1.534821259487084009e-06,1.534890713272937515e-06,-1.580309510167082099e+00,8.844940579642894922e-09,6.285211110445695443e-06,6.285217334018280631e-06,1.569389065433993702e+00,-2.878267994558853472e-07,2.375194925479306106e-04,2.375196669425354062e-04,1.572008129057862247e+00,2.481124148012679598e+01,8.661961276579944746e-01,2.482635695217351568e+01,3.489726527379170135e-02,2.481369434092042781e+01,8.661347070903090417e-01,2.482880617700844894e+01,3.489134618401045634e-02,2.919551166780791784e-11,8.105332179662592143e-13,2.920676061535299500e-11,2.775512503069073669e-02,1.000020424987898560e+00,-5.877762551734262578e-04,1.000020597724818661e+00,-5.877641824113973533e-04,1.572008129057862247e+00
7.845070422535210609e+09,-6.023220923295582452e-01,1.132507738526385144e-02,6.024285520176140274e-01,3.122792507899916803e+00,1.784752524754730230e-01,1.810513116758798091e+01,1.810601082544998164e+01,1.560938929459588120e+00,1.025572588316224915e-01,9.636592279456246857e+00,9.637137995889380804e+00,1.560154246673667311e+00,4.344778439758051336e-01,4.475982437236463340e+01,4.476193303290009595e+01,1.561089760586158892e+00,5.963022766300759467e-09,-4.837437849436295683e-06,4.837441524690439333e-06,-1.569563645377249683e+00,-1.516945523595788986e-08,-1.562955400892860927e-06,1.563029013662996412e-06,-1.580501644641982395e+00,9.206432469657099787e-09,6.400393250329154916e-06,6.400399871668786524e-06,1.569357911097596814e+00,-2.981511383148147818e-07,2.418718924718147147e-04,2.418720762345219141e-04,1.572029008212542767e+00,2.481134150364446000e+01,8.821975126912865450e-01,2.482702035407931973e+01,3.554124726051324790e-02,2.481388737435248260e+01,8.821325357564473446e-01,2.482956230862093960e+01,3.553498858102104724e-02,2.919652295830576997e-11,8.254633580323415931e-13,2.920818964965699345e-11,2.826513012429763064e-02,1.000021182023976385e+00,-5.985354118001720613e-04,1.000021361142485743e+00,-5.985226624077954853e-04,1.572029008212542767e+00
7.985915492957746506e+09,-6.023172466095014776e-01,1.153047595336214627e-02,6.024276034835738258e-01,3.122451465477157129e+00,1.856436135074292781e-01,1.843204041527964776e+01,1.843297527318198448e+01,1.560724878793459780e+00,1.068456117212006479e-01,9.811103258891343160e+00,9.811685030685220354e+00,1.559906482369924463e+00,4.511283486227234962e-01,4.556638992298644553e+01,4.556862305798335200e+01,1.560896187448531647e+00,6.171640567714657810e-09,-4.924492486132893631e-06,4.924496353448403820e-06,-1.569543073316707282e+00,-1.574914240734936409e-08,-1.591096543208188370e-06,1.591174486125143289e-06,-1.580694298201831050e+00,9.577501839634707933e-09,6.515589029341083060e-06,6.515596068496831895e-06,1.569326391398659037e+00,-3.085820283856951016e-07,2.462246243066445951e-04,2.462248176724200809e-04,1.572049580273085834e+00,2.481144328083341932e+01,8.982026380505740981e-01,2.482769593935399755e+01,3.618534256287923856e-02,2.481408403250539507e+01,8.981339642535812740e-01,2.483033247844226921e+01,3.617873111319418883e-02,2.919755384708323992e-11,8.403945693780543775e-13,2.920964590140669909e-11,2.877510253921038846e-02,1.000021952893573651e+00,-6.092953319351985522e-04,1.000022138509882419e+00,-6.092818810398057099e-04,1.572049580273085834e+00
8.126760563380282402e+09,-6.023123130188103858e-01,1.173591886902932216e-02,6.024266380280423050e-01,3.122110345577669310e+00,1.929749057848704208e-01,1.875901734345090333e+01,1.876000988822112703e+01,1.560509641964853866e+00,1.112393529121748076e-01,9.985698643175229705e+00,9.986318219741844970e+00,1.559656920754998177e+00,4.681256135924561912e-01,4.637304975955036213e+01,4.637541251128484987e+01,1.560701892298605120e+00,6.382247187095555512e-09,-5.011558951733098834e-06,5.011563015644452097e-06,-1.569522822123338157e+00,-1.634055652601225587e-08,-1.619233808610696697e-06,1.619316257170131119e-06,-1.580887520401698554e+00,9.958309338916743368e-09,6.630792760343796378e-06,6.630800238172809458e-06,1.569294500058350472e+00,-3.191123593548844488e-07,2.505779475866549586e-04,2.505781507822225896e-04,1.572069831466455403e+00,2.481154680818190883e+01,9.142114946473801629e-01,2.482838371041392023e+01,3.682955012981876941e-02,2.481428432234661585e+01,9.141389801607986421e-01,2.483111669871708571e+01,3.682257243572520378e-02,2.919860440550707339e-11,8.553267912657777201e-13,2.921112943980691124e-11,2.928503883753714315e-02,1.000022737598837752e+00,-6.200560310571662931e-04,1.000022929829189167e+00,-6.200418533336675029e-04,1.572069831466455403e+00
8.267605633802816391e+09,-6.023072915040939002e-01,1.194140600413518341e-02,6.024256556425474640e-01,3.121769148343574329e+00,2.004705050883255624e-01,1.908608211708232005e+01,1.908713490818933423e+01,1.560293221330150137e+00,1.157398784431973304e-01,1.016041820782964855e+01,1.016107739747406313e+01,1.559405568038067624e+00,4.854715813827431004e-01,4.717980573034233061e+01,4.718230337117056905e+01,1.560506872631384434e+00,6.594710562168195772e-09,-5.098637597568316431e-06,5.098641862451667831e-06,-1.569502901490894775e+00,-1.694372003273859051e-08,-1.647362739374897985e-06,1.647449873206864995e-06,-1.581081324859556103e+00,1.034900947057008537e-08,6.746000336943214204e-06,6.746008275123517657e-06,1.569262232393020540e+00,-3.297355281086536977e-07,2.549318798784156403e-04,2.549320931225831899e-04,1.572089752098899229e+00,2.481165208195141503e+01,9.302240777793832072e-01,2.482908366957355994e+01,3.747386908697795949e-02,2.481448825082322074e+01,9.301475757293191649e-01,2.483191498179064638e+01,3.746651139070340808e-02,2.919967470633139834e-11,8.702599690012318285e-13,2.921264033546464254e-11,2.979493578279164556e-02,1.000023536141989577e+00,-6.308175247358365845e-04,1.000023735102661737e+00,-6.308025944064690011e-04,1.572089752098899229e+00
